number;shape;provenance;date;latitude;longitude
2079;KRATER, COLUMN;SICILY, VASSALLAGGI;;37.487391;14.055634
2081;KRATER, CALYX FRAGMENT;SICILY, VASSALLAGGI;;37.487391;14.055634
2113;KRATER, BELL;SICILY, VASSALLAGGI;;37.487391;14.055634
2117;KRATER, COLUMN;SICILY, VASSALLAGGI;;37.487391;14.055634
2118;KRATER, COLUMN;SICILY, VASSALLAGGI;;37.487391;14.055634
2119;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
2122;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
2125;KRATER, BELL FRAGMENT;SICILY, VASSALLAGGI;;37.487391;14.055634
2127;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
2129;KRATER, CALYX;SICILY, VASSALLAGGI;;37.487391;14.055634
2138;KRATER, VOLUTE FRAGMENT;CHALKIDIKE, APHYTIS;-525 to -475;40.541982;23.48465
2161;KRATER, VOLUTE FRAGMENT;ITALY, SIBARIS;;39.75;16.45
2162;KRATER, VOLUTE FRAGMENT;ITALY, SIBARIS;;39.75;16.45
2164;KRATER, VOLUTE FRAGMENT;ITALY, SIBARIS;;39.75;16.45
2177;KRATER, VOLUTE (?) FRAGMENT;ITALY, SIBARIS;;39.75;16.45
2237;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
2253;KRATER, COLUMN FRAGMENT;ATHENS, CERAMICUS;;37.978333;23.718611
2254;KRATER, CALYX FRAGMENT;ATHENS, CERAMICUS;;37.978333;23.718611
2295;KRATER FRAGMENT;ATHENS, CERAMICUS;;37.978333;23.718611
2342;KRATER, BELL FRAGMENTS;PORTO CHELI;;37.328881;23.1474
2345;KRATER, BELL FRAGMENTS;SAMOTHRACE;;40.44956;25.584412
2346;KRATER, VOLUTE FRAGMENTS;SAMOTHRACE;-425 to -375;40.44956;25.584412
2411;KRATER, COLUMN FRAGMENTS;ATHENS, CERAMICUS;;37.978333;23.718611
2413;KRATER, BELL;ATHENS, PIRAEUS;;37.95056;23.640518
2414;KRATER, VOLUTE;ITALY, ORVIETO;;42.718642;12.114315
2416;KRATER, VOLUTE FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
2417;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
2418;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
2419;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
2421;KRATER, COLUMN FRAGMENT;EGYPT, NAUCRATIS;;30.954058;30.522766
2457;KRATER, CALYX FRAGMENTS;ATTICA, BRAURON;-450 to -400;37.881628;23.931913
2462;KRATER, BELL;ITALY, NAPLES, NEAR;-400 to -300;40.839901;14.25185
2529;KRATER, VOLUTE FRAGMENT;ITALY, SIBARIS;;39.75;16.45
2532;KRATER, VOLUTE;ITALY, ORVIETO;;42.718642;12.114315
2547;KRATER FRAGMENT;ITALY, GRAVISCA;;42.247835;11.684647
2549;KRATER, BELL FRAGMENTS;ATTICA, DEMA;;38.099983;23.659058
2570;KRATER, VOLUTE FRAGMENT;ITALY, LOCRI;;38.233589;16.263651
2655;KRATER FRAGMENTS;SAMOTHRACE;-500 to -450;40.44956;25.584412
2687;KRATER, BELL;RHODES;-400 to -300;36.2002792886862;27.9592194511287
2870;KRATER, COLUMN;ITALY, RAVENNA, S. MARTINO IN GATTARA;;44.4174995422363;12.2011113166809
2879;KRATER, COLUMN FRAGMENTS;ITALY, LUCCA, MASSAROSA;;43.8435649871826;10.5058479309082
2949;KRATER, COLUMN;ATHENS, AGORA;-450 to -400;37.995486;23.731327
3004;KRATER, CALYX;GEORGIA, KOBOULETI PITCHVNARI;-475 to -425;41.849522;41.777185
3006;KRATER, BELL FRAGMENTS;CYPRUS, KITION;-450 to -400;34.921936;33.624001
3087;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
3088;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
3101;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
3102;KRATER FRAGMENT;ATHENS, ACROPOLIS, SOUTH SLOPE;;37.971422;23.726167
